txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,costusd,strategy,note
TV7MJS-Q5JBJ-RAKZBO,O2HO6U-YFAQA-4TLPBR,BTC/USD,forex,57:04.7,sell,market,111232.1,47.43048,0.16601,0.00042641,0,initiated,"LQQWXI-K6STK-4B3BKT,LAGELE-5OGQD-DQ7DGV",TKH2SE-M7IF5-CFI7LT,47.43048,,
TTPXEI-2VVIY-ZIVTBZ,OYJ53O-GHIB2-VLAOWX,BTC/USD,forex,57:54.1,sell,market,111212.4,47.41986,0.16597,0.00042639,0,initiated,"LEVBC4-ASX6G-WKBF3Y,LWZDFY-7RDXS-Q7FOSH",TKH2SE-M7IF5-CFI7LT,47.41986,,
TX3OY5-YX3ZA-WRBVVG,OXURZG-J7STF-DTQ5PI,BTC/USD,forex,58:16.9,sell,market,111212.4,47.41986,0.16597,0.00042639,0,initiated,"L6SGE7-GFJ2U-FJW723,LOLCNT-2WJRG-VDLJXD",TKH2SE-M7IF5-CFI7LT,47.41986,,
TLW27V-J6P6E-6JJAAK,OB2XDA-X5PI4-7EUEHR,BTC/USD,forex,58:27.1,sell,market,111212.4112,47.41986,0.16597,0.00042639,0,initiated,"LMKV6M-ZG347-2QBAUL,LT7QS6-MXGNT-KBL4OE",TKH2SE-M7IF5-CFI7LT,47.41986,,
TWD5PH-V7CAA-ILSXYC,O3VFCZ-2E426-ESFNR6,BTC/USD,forex,59:17.0,sell,market,111200,47.3901,0.16587,0.00042617,0,initiated,"LFQK3J-76J5D-NS3WED,L3HOSE-7TRDM-VV43VG",TKH2SE-M7IF5-CFI7LT,47.3901,,
TF7FHI-G36WD-GTFVVM,ONXN33-GKST3-MAHXXP,AVAX/USD,forex,28:42.7,buy,market,21.96614,47.40483,0.16592,2.15808656,0,initiated,"LWJVSN-G5MDI-U2XCTT,LFJBYG-ES25D-WTP3IV",TKH2SE-M7IF5-CFI7LT,47.40483,,
T6L35M-QCFFA-QZZ3JE,OWCKUH-X45WI-IA5O2O,LINK/USD,forex,28:43.4,buy,market,18.000732,47.38414,0.165844,2.63234523,0,initiated,"L2SCJV-MDVVI-3H25V2,LAXOUJ-4LQQA-AHPHR7",TKH2SE-M7IF5-CFI7LT,47.38414,,
TXMSAH-GYTCY-5MX6O5,OXST6H-X333P-SAQR2L,LTC/USD,forex,28:44.1,buy,market,94.63,47.41008,0.16594,0.50100476,0,initiated,"LJNGAJ-VJPWS-2ZZTHY,L4CQD5-5WXFW-RDIY65",TKH2SE-M7IF5-CFI7LT,47.41008,,
TRWDSC-ZJKYI-RGIXUY,O6D7A7-MM4K3-FCALJY,ETH/USD,forex,29:22.1,buy,market,3975.81,47.36987,0.16579,0.01191452,0,initiated,"LJAQI3-DALFF-AJ3U46,LYY3F2-DXQXE-INUZHN",TKH2SE-M7IF5-CFI7LT,47.36987,,
TG5CU2-NSYSN-UVP5AT,OMSMXQ-GNMEX-NTTGPM,DOGE/USD,forex,29:23.8,buy,market,0.197261265,47.36007589,0.165760266,240.0880678,0,initiated,"L3S5DK-UGOOD-S3I2TM,LCMQOS-KVQ2K-OGDNEO",TKH2SE-M7IF5-CFI7LT,47.36007589,,
TJTZ3E-4HAQX-J27DP2,OZXQXW-2NQF7-OUTYBW,XRP/USD,forex,29:24.5,buy,market,2.40547,47.36862156,0.16579018,19.6920442,0,initiated,"LTQFSO-V2JKF-DBZOIF,L45RMI-YMMUA-6JUWUK",TKH2SE-M7IF5-CFI7LT,47.36862156,,
TMPTJY-OX5MZ-54OQAM,OQQDDA-AYUJ7-NUITAJ,AVAX/USD,forex,29:25.2,buy,market,22.01,47.37,0.1658,2.15220354,0,initiated,"LBQECJ-KKZC3-JCUM74,LFPKHB-UGLTI-OLPJHB",TKH2SE-M7IF5-CFI7LT,47.37,,
TQ7Z26-6NJEZ-MW7V4Z,OMDGAG-L5CZI-IXSFWI,LINK/USD,forex,29:25.9,buy,market,18.016776,47.37317,0.165806,2.62939224,0,initiated,"LBV7IC-DD3OZ-POT7V6,L4USZH-PXSBN-OT5J2G",TKH2SE-M7IF5-CFI7LT,47.37317,,
TYRLOE-CQBHF-MN2JQQ,O77E3R-REARB-ANDP3B,BCH/USD,forex,29:26.7,buy,market,523.567725,47.425953,0.16599,0.09058227,0,initiated,"LHI3YS-46N35-74J75T,LTRR3S-7ZPKT-JQPNWB",TKH2SE-M7IF5-CFI7LT,47.425953,,
TAXBQN-OV2QI-LNF63V,OBUBOP-JHHLI-CDAELT,LTC/USD,forex,29:27.4,buy,market,94.68,47.39503,0.16588,0.50058121,0,initiated,"LMDANQ-XMN3C-OC5NPW,LXF4YJ-643FG-6CDNUI",TKH2SE-M7IF5-CFI7LT,47.39503,,
